phrase;replacements;message;url
" - ";" – ";"Replace - with – ";
", so to speak";"";"No. Just no. Don't say this";
"...";"…";"Replace ... with .... ";
"12 a.m.";"midnight";"12 a.m. is wrong and confusing.";
"12 am";"midnight";"12 a.m. is wrong and confusing.";
"12 am.";"midnight";"12 a.m. is wrong and confusing.";
"12 noon";"noon";"Use this form, it's better. Trust me.";
"12 o'clock noon";"noon";"Use this form, it's better. Trust me.";
"12 p.m.";"noon";"12 p.m. is wrong and confusing.";
"12 pm";"noon";"12 p.m. is wrong and confusing.";
"12 pm.";"noon";"12 p.m. is wrong and confusing.";
"2 on 1";"";"Are you kidding! Why would you type this!";
"2day";"";"Are you kidding! Why would you type this!";
"3rd eye";"";"Are you kidding! Why would you type this!";
"3rd leg";"";"Are you kidding! Why would you type this!";
"3rdeye";"";"Are you kidding! Why would you type this!";
"3rdleg";"";"Are you kidding! Why would you type this!";
"3some";"";"Are you kidding! Why would you type this!";
"4 twenty";"";"Are you kidding! Why would you type this!";
"420";"";"Are you kidding! Why would you type this!";
"4U";"";"Are you kidding! Why would you type this!";
"4twenty";"";"Are you kidding! Why would you type this!";
"60 nine";"";"Are you kidding! Why would you type this!";
"60nine";"";"Are you kidding! Why would you type this!";
"666";"";"Are you kidding! Why would you type this!";
"ABM missile";"ABM";"At least you should use the proper form.";
"ABM missiles";"ABMs";"At least you should use the proper form.";
"ABS braking system";"ABS";"At least you should use the proper form.";
"ACT test";"ACT";"At least you should use the proper form.";
"ADD";"disorganized","unfocused","energetic","hyperactive","impetuous","impulsive","inattentive","restless","unfocused";"Use this form, it's better. Trust me.";
"AFAIK";"";"Are you kidding! Why would you type this!";
"AFK";"";"Are you kidding! Why would you type this!";
"ASAP";"";"Are you kidding! Why would you type this!";
"ATM machine";"ATM";"At least you should use the proper form.";
"Afrikaaner";"Afrikaner";"This is the prefered cultural reference";
"Afrikander";"Afrikaner";"This is the prefered cultural reference";
"Agnieska Radwanska";"Agnieszka Radwanska";"This is the correct spelling";
"Alabaman";"Alabamian";"This is the prefered cultural reference";
"Albuquerquian";"Albuquerquean";"This is the prefered cultural reference";
"Alex Rodriquez";"Alex Rodriguez";"This is the correct spelling";
"American as apple pie";"";"Don't use this word";
"Anchoragite";"Anchorageite";"This is the prefered cultural reference";
"Angstrom";"Ångström";"It's a Proper Noun";
"Antwan Jamison";"Antawn Jamison";"This is the correct spelling";
