phrase;replacements;message;url
"12 a.m.";midnight;"12 a.m. is wrong and confusing.";
"12 am";midnight;"12 a.m. is wrong and confusing.";
"12 am.";midnight;"12 a.m. is wrong and confusing.";
"12 p.m.";noon;"12 p.m. is wrong and confusing.";
"12 pm";noon;"12 p.m. is wrong and confusing.";
"12 pm.";noon;"12 p.m. is wrong and confusing.";
"FIX ME";"";"Don't use this word";
"FIX THIS";"";"Don't use this word";
FIXME;"";"Don't use this word";
"I beg to differ";"";"Don't use this word";
I;"The Team";"First Person Singular Word Detected";
"a bit";limited;"Unconcious Bias Detected";
"a clean slate";"";"Don't use this word";
"a loose cannon";"";"Don't use this word";
"a lot";numerous;"Weasel Word Detected";
"a number of";numerous;"Weasel Word Detected";
"a while";"a duration";"Weasel Word Detected";
abort;stop;"Unconcious Bias Detected";
aborted;stopped;"Unconcious Bias Detected";
aborting;stopping;"Unconcious Bias Detected";
about;approximately,regarding;"Weasel Word Detected";
absolute;"";"Don't use this word";
"ad hoc";"for this purpose";"Latin Word Detected";
"ad nauseum";endlessly;"Latin Word Detected";
adaptable;flexible;"Emotional Word Detected";
advantage;benefit;"Emotional Word Detected";
advantageous;beneficial;"Emotional Word Detected";
again;"";"Filler Word Detected";
aggravate;intensify;"Emotional Word Detected";
aggressive;assertive;"Emotional Word Detected";
agitated;unsettled;"Emotional Word Detected";
agony;stress;"Emotional Word Detected";
alarmed;alerted;"Emotional Word Detected";
alienated;isolated;"Emotional Word Detected";
"all fun and games";"";"Don't use this word";
almost;virtually;"Weasel Word Detected";
alot;"a lot";"There is a word for that";
already;"";"Filler Word Detected";
also;.;"Multiple Idea Word Detected";
alumni;graduates;"Using gender neutral language means users will help to break up gender stereotypes";
always;consistently;"Weasel Word Detected";
amazing;outstanding;"Emotional Word Detected";
anger;irritation;"Emotional Word Detected";
angry;irritated;"Emotional Word Detected";
antagonistic;hostile;"Emotional Word Detected";
anxious;uneasy;"Emotional Word Detected";
anyway;"";"Filler Word Detected";
appalled;shocked;"Emotional Word Detected";
appeared;"";"Filler Word Detected";
argumentative;disputative;"Emotional Word Detected";
around;approximately;"Weasel Word Detected";
"as a last resort";"";"Don't use this word";
"as well as";and;"Filler Words";
astonishing;surprising;"Emotional Word Detected";
astounded;astonished;"Emotional Word Detected";
astounding;surprising;"Emotional Word Detected";
atrocious;dreadful;"Emotional Word Detected";
authentic;legitimate;"Emotional Word Detected";
authoritative;official;"Emotional Word Detected";
"avoid like the plague";"";"Don't use this word";
awesome;outstanding;"Emotional Word Detected";
awhile;temporarily;"Weasel Word Detected";
awkward;ungainly;"Emotional Word Detected";
"back against the wall";"";"Don't use this word";
back;"";"Filler Word Detected";
bad;substandard;"Don't use this word";
balanced;equitable;"Emotional Word Detected";
bandwidth;capacity;"Don't use this word";
basically;"";"It’s probably not that basic. If you’re going to explain a confusing previous sentence with a clearer next sentence, why not drop the former?";
"be able to";"";"Filler Word Detected";
beat;"";"Don't use this word";
become;"";"Don't use this word";
been;"";"Don't use this word";
began;"";"Filler Word Detected";
begun;"";"Don't use this word";
believe;conclude;"Indirect Word Detected";
believed;"";"Filler Word Detected";
"bend over backwards";"";"Don't use this word";
"bent out of shape";"";"Don't use this word";
bent;"";"Don't use this word";
"best practice";"industry standard";"Don't use this word";
best;optimal;"Weasel Word Detected";
bet;"";"Don't use this word";
better;improved;"Weasel Word Detected";
"beyond the pale";"";"Don't use this word";
bid;"";"Don't use this word";
big;immense;"Don't use this word";
bigger;larger;"Weasel Word Detected";
binge;eager,spree;"Don't use this word";
"bird's eye view";"";"Don't use this word";
bitten;"";"Don't use this word";
"black day";"blocked day";"Unconcious Bias Detected";
"black days";"blocked days";"Unconcious Bias Detected";
"black hat tactic";"bad actor tactics";"Unconcious Bias Detected";
"black hat";"bad actor";"Unconcious Bias Detected";
"black list";blocklist,wronglist,banlist,"deny list";"Replace racially-charged language with more accurate and inclusive words";
"black lists";"deny lists";"Unconcious Bias Detected";
black-day;"blocked day";"Unconcious Bias Detected";
black-days;blocked-days;"Unconcious Bias Detected";
"black-hat tactic";"bad actor tactics";"Unconcious Bias Detected";
